# t(s)   rho_eff(J)   power(W)   rho_I(J)   rho_N(J)
3.283521562e-06  3.630986e+07  2.622827e+12  3.630986e+07  0.000000e+00
3.314793196e-06  3.646092e+07  6.396354e+12  3.646092e+07  0.000000e+00
3.346064830e-06  3.670991e+07  6.548020e+12  3.670991e+07  0.000000e+00
3.377336464e-06  3.687045e+07  9.703510e+10  3.687045e+07  0.000000e+00
3.408608098e-06  3.671598e+07  -8.673097e+12  3.671598e+07  0.000000e+00
3.439879732e-06  3.632801e+07  -8.808330e+12  3.632801e+07  0.000000e+00
3.471151366e-06  3.616508e+07  3.860744e+12  3.616508e+07  0.000000e+00
3.502423000e-06  3.656947e+07  1.719672e+13  3.656947e+07  0.000000e+00
3.533694634e-06  3.724062e+07  1.390062e+13  3.724062e+07  0.000000e+00
3.564966267e-06  3.743886e+07  -6.505073e+12  3.743886e+07  0.000000e+00
3.596237901e-06  3.683377e+07  -2.320013e+13  3.683377e+07  0.000000e+00
3.627509535e-06  3.598785e+07  -1.699042e+13  3.598785e+07  0.000000e+00
3.658781169e-06  3.577113e+07  5.272400e+12  3.577113e+07  0.000000e+00
3.690052803e-06  3.631760e+07  1.673754e+13  3.631760e+07  0.000000e+00
3.721324437e-06  3.681795e+07  2.924665e+12  3.681795e+07  0.000000e+00
3.752596071e-06  3.650052e+07  -1.867099e+13  3.650052e+07  0.000000e+00
3.783867705e-06  3.565021e+07  -1.819327e+13  3.565021e+07  0.000000e+00
3.815139339e-06  3.536265e+07  9.397334e+12  3.536265e+07  0.000000e+00
3.846410973e-06  3.623795e+07  3.534624e+13  3.623795e+07  0.000000e+00
3.877682607e-06  3.757332e+07  2.953758e+13  3.757332e+07  0.000000e+00
3.908954241e-06  3.808533e+07  -3.561256e+12  3.808533e+07  0.000000e+00
3.940225875e-06  3.735059e+07  -2.931387e+13  3.735059e+07  0.000000e+00
3.971497508e-06  3.625194e+07  -2.316682e+13  3.625194e+07  0.000000e+00
4.002769142e-06  3.590166e+07  1.683080e+12  3.590166e+07  0.000000e+00
4.034040776e-06  3.635721e+07  1.241591e+13  3.635721e+07  0.000000e+00
